Frota veiculos novembro 2020,,,,,,,,,,,,,,,,,,,,,,,
,,"  107,585,150 ",,,,,,,,,,,,,,,,,,,,,
UF,MUNICIPIO,TOTAL,AUTOMOVEL,BONDE,CAMINHAO,CAMINHAO TRATOR,CAMINHONETE,CAMIONETA,CHASSI PLATAF,CICLOMOTOR,MICRO-ONIBUS,MOTOCICLETA,MOTONETA,ONIBUS,QUADRICICLO,REBOQUE,SEMI-REBOQUE,SIDE-CAR,OUTROS,TRATOR ESTEI,TRATOR RODAS,TRICICLO,UTILITARIO
AL,ESTRELA DE ALAGOAS,3557,1044,0,63,1,251,28,0,1,86,1879,105,26,0,53,14,0,0,0,0,0,6
AL,FEIRA GRANDE,5052,1076,0,115,6,417,32,0,7,7,2751,553,49,0,21,12,1,0,0,0,0,5
AL,FELIZ DESERTO,643,238,0,12,0,45,6,0,2,6,265,36,9,0,17,7,0,0,0,0,0,0
AL,FLEXEIRAS,1588,701,0,36,0,102,33,0,1,21,557,23,51,0,41,16,0,0,0,0,1,5
AL,GIRAU DO PONCIANO,9089,2619,0,219,5,547,92,0,4,73,4734,606,98,0,62,17,0,0,0,0,1,12
AL,IBATEGUARA,2365,763,0,59,2,178,32,0,0,70,1090,98,25,0,31,6,0,0,0,0,0,11
AL,IGACI,5798,1731,0,132,0,403,55,0,2,127,2867,346,39,0,64,26,0,0,0,0,0,6
AL,IGREJA NOVA,4654,962,0,81,4,156,29,0,15,23,2900,267,115,0,55,42,0,1,0,0,0,4
AL,INHAPI,4366,975,0,83,11,355,30,0,1,27,2550,266,10,0,41,12,0,0,0,0,0,5
AL,JACARE DOS HOMENS,1014,324,0,39,2,63,6,0,1,13,507,21,17,0,14,3,0,0,0,0,0,4
AL,JACUIPE,650,234,0,13,0,41,31,0,1,15,276,7,19,0,11,0,0,0,0,0,1,1
AL,JAPARATINGA,1488,658,0,25,0,97,41,0,33,20,534,26,13,0,24,8,0,0,0,0,0,9
AL,JARAMATAIA,914,341,0,27,3,77,9,0,0,15,389,29,7,0,8,7,0,0,0,0,0,2
AL,JEQUIA DA PRAIA,1399,472,0,40,5,114,13,0,7,7,603,33,49,0,42,9,0,0,0,0,0,5
AL,JOAQUIM GOMES,2722,1006,0,116,3,226,43,0,5,31,1078,42,86,0,64,17,0,0,0,0,1,4
AL,JUNDIA,648,260,0,19,0,39,27,0,0,7,261,6,13,0,15,1,0,0,0,0,0,0
AL,JUNQUEIRO,5887,1593,0,187,59,395,55,1,8,25,2458,689,115,0,192,100,3,0,0,0,0,7
AL,LAGOA DA CANOA,5135,1402,0,99,5,312,39,0,9,31,2691,426,44,0,47,19,0,0,0,0,0,11
AL,LIMOEIRO DE ANADIA,5486,1371,0,160,6,460,58,1,21,26,2596,620,72,0,75,16,0,0,0,0,0,4
