Frota veiculos novembro 2020,,,,,,,,,,,,,,,,,,,,,,,
,,"  107,585,150 ",,,,,,,,,,,,,,,,,,,,,
UF,MUNICIPIO,TOTAL,AUTOMOVEL,BONDE,CAMINHAO,CAMINHAO TRATOR,CAMINHONETE,CAMIONETA,CHASSI PLATAF,CICLOMOTOR,MICRO-ONIBUS,MOTOCICLETA,MOTONETA,ONIBUS,QUADRICICLO,REBOQUE,SEMI-REBOQUE,SIDE-CAR,OUTROS,TRATOR ESTEI,TRATOR RODAS,TRICICLO,UTILITARIO
ES,MUCURICI,2078,941,0,102,8,192,23,0,0,10,637,91,28,0,23,13,0,0,0,0,2,8
ES,MUNIZ FREIRE,10003,4133,0,332,6,1041,210,0,3,65,3648,403,51,0,53,5,0,0,0,2,2,49
ES,MUQUI,7607,3381,0,233,24,810,151,0,2,30,2250,529,44,0,67,20,0,1,0,1,1,63
ES,NOVA VENECIA,26574,9465,0,1088,143,3153,302,0,5,62,8937,2631,200,0,286,182,1,1,0,6,13,99
ES,PANCAS,8728,3188,0,339,10,828,100,0,2,40,3600,475,32,0,64,16,0,0,0,3,2,29
ES,PEDRO CANARIO,10574,4362,0,823,126,1094,155,0,7,65,2339,714,366,0,238,216,22,0,0,8,7,32
ES,PINHEIROS,9075,3617,0,365,22,915,112,0,4,27,2965,731,166,0,77,25,1,0,0,0,5,43
ES,PIUMA,11881,5673,0,336,50,1171,336,0,5,40,2302,1430,16,0,223,41,0,6,0,2,18,232
ES,PONTO BELO,2501,1093,0,75,1,225,33,0,1,16,792,208,21,0,23,0,0,1,0,0,5,7
ES,PRESIDENTE KENNEDY,8586,3485,0,471,26,1027,164,0,3,28,2702,406,25,0,105,39,1,2,0,0,9,93
ES,RIO BANANAL,14340,3773,0,749,46,1792,110,0,12,24,5409,2027,63,0,169,58,0,1,0,23,1,83
ES,RIO NOVO DO SUL,7387,2720,0,386,93,633,124,0,2,31,2537,584,39,0,73,116,0,2,0,6,1,40
ES,SANTA LEOPOLDINA,7400,2607,0,526,9,759,130,0,6,56,2910,245,41,0,55,13,0,1,0,9,4,29
ES,SANTA MARIA DE JETIBA,36517,12973,0,3101,550,3956,428,0,9,110,11053,2966,114,0,204,871,1,1,1,37,7,135
ES,SANTA TERESA,16483,6893,0,881,61,1999,339,0,8,63,4897,811,127,0,166,77,0,1,0,10,9,141
ES,SAO DOMINGOS DO NORTE,5394,1664,0,298,79,624,51,0,1,15,1862,550,54,0,43,134,0,0,0,2,2,15
ES,SAO GABRIEL DA PALHA,22249,7051,0,829,81,1900,263,0,2,53,7640,3831,187,0,217,85,1,1,0,13,5,90
ES,SAO JOSE DO CALCADO,5572,2936,0,113,9,505,122,0,8,33,1493,231,26,0,36,12,4,0,0,0,5,39
ES,SAO MATEUS,54452,24744,0,1437,256,5150,1157,0,81,145,13672,5059,452,0,1458,291,8,7,0,31,41,463
ES,SAO ROQUE DO CANAA,7016,2250,0,374,16,691,42,0,5,29,2938,511,40,0,76,20,1,0,0,3,3,17
ES,SERRA,220499,129005,0,9278,3037,16055,7679,1,167,935,34279,5896,2255,0,5205,4020,19,32,2,698,175,1761
ES,SOORETAMA,9913,4126,0,426,38,981,136,0,3,24,3234,555,77,0,232,41,0,0,0,11,0,29
ES,VARGEM ALTA,12511,5533,0,640,138,1575,228,0,0,52,3354,549,77,0,123,125,0,1,0,4,3,109
ES,VENDA NOVA DO IMIGRANTE,18359,8626,0,897,201,2447,527,0,1,36,3646,1054,128,0,262,243,1,1,0,15,4,270
ES,VIANA,34095,15178,0,1514,2025,2628,988,0,14,138,6745,1026,430,0,551,2650,2,1,0,60,28,117
ES,VILA PAVAO,5931,1604,0,217,11,589,43,0,1,10,2799,568,33,0,26,19,0,0,0,0,0,11
ES,VILA VALERIO,10225,2691,0,469,22,1076,66,0,0,35,4751,868,120,0,69,16,0,0,0,6,2,34
ES,VILA VELHA,237158,138082,0,4604,1477,16500,11968,1,284,1029,39694,9352,888,0,5373,2226,8,46,4,217,907,4498
ES,VITORIA,202263,124299,0,4319,827,17589,12634,1,209,1087,23556,4457,918,0,4434,1286,13,152,1,333,163,5985
GO,ABADIA DE GOIAS,5049,2437,0,182,39,502,107,0,51,10,1150,210,14,0,276,44,0,2,0,0,1,24
GO,ABADIANIA,6217,3094,0,319,44,706,168,0,9,40,1230,227,37,0,269,41,0,0,0,0,2,31
GO,ACREUNA,12612,5412,0,476,276,1337,234,0,58,22,2410,1206,131,0,477,486,0,0,0,4,2,81
GO,ADELANDIA,1376,621,0,45,1,165,35,0,9,3,343,64,8,0,78,3,0,0,0,0,0,1
GO,AGUA FRIA DE GOIAS,1255,633,0,58,7,159,30,0,1,12,236,20,25,0,56,12,2,0,0,0,0,4
GO,AGUA LIMPA,889,484,0,27,1,112,20,0,2,7,171,26,3,0,33,0,0,0,0,0,0,3
GO,AGUAS LINDAS DE GOIAS,35756,15776,0,1386,97,2521,1098,6,185,227,6027,689,748,0,6755,112,6,3,0,7,24,89
GO,ALEXANIA,13754,7277,0,555,74,1279,314,0,93,54,2386,782,53,0,728,85,0,3,0,3,6,62
GO,ALOANDIA,1189,512,0,30,1,97,14,0,5,2,364,95,6,0,60,1,0,0,0,0,0,2
GO,ALTO HORIZONTE,2764,1174,0,79,33,323,45,0,11,13,602,272,25,0,133,39,0,0,0,1,0,14
GO,ALTO PARAISO DE GOIAS,2854,1278,0,88,7,452,105,0,6,10,592,69,18,0,138,15,0,1,0,0,2,73
GO,ALVORADA DO NORTE,4243,2068,0,183,30,437,47,1,17,12,912,227,19,0,227,42,4,1,0,1,0,15
GO,AMARALINA,761,284,0,15,0,101,11,0,4,4,263,32,14,0,31,1,0,0,0,0,0,1
GO,AMERICANO DO BRASIL,3124,1331,0,76,8,360,59,0,35,11,841,167,30,0,182,17,0,0,0,0,0,7
GO,AMORINOPOLIS,1666,665,0,41,23,200,22,0,4,6,525,74,12,0,71,21,0,0,0,0,1,1
GO,ANAPOLIS,287523,144392,0,10083,3285,23387,8444,6,1052,388,55626,19810,1811,0,9650,5069,1,24,0,12,52,4431
GO,ANHANGUERA,559,333,0,9,1,54,8,0,0,0,119,11,2,0,20,1,0,0,0,0,0,1
GO,ANICUNS,12461,5881,0,405,66,1222,234,0,108,28,2531,978,108,0,750,116,0,1,0,1,4,28
GO,APARECIDA DE GOIANIA,313772,150213,0,7738,2036,17877,6526,19,2894,528,87899,19319,712,0,12956,3586,4,17,1,22,65,1360
GO,APARECIDA DO RIO DOCE,1437,689,0,77,20,179,38,0,11,16,272,46,12,0,48,25,0,0,0,0,0,4
GO,APORE,2013,953,0,119,17,282,58,0,9,13,315,70,35,0,88,37,0,1,0,2,0,14
GO,ARACU,2193,1053,0,39,8,226,43,0,10,11,531,112,14,0,121,19,0,0,0,0,3,3
GO,ARAGARCAS,16049,7030,0,493,69,1565,321,0,154,18,3888,1637,35,0,677,90,1,0,0,1,2,68
GO,ARAGOIANIA,4850,2286,0,113,15,465,84,0,43,4,1395,207,13,0,204,11,0,0,0,0,1,9
GO,ARAGUAPAZ,3764,1468,0,120,29,347,42,0,59,12,1102,288,21,0,237,30,0,0,0,0,0,9
GO,ARENOPOLIS,1258,515,0,29,1,205,24,0,15,15,344,24,11,0,68,0,0,0,0,0,0,7
GO,ARUANA,2970,1048,0,85,13,262,59,0,52,4,874,300,23,0,213,24,0,0,0,0,3,10
GO,AURILANDIA,1575,764,0,37,0,172,30,0,31,5,421,34,3,0,76,0,0,0,0,0,0,2
GO,AVELINOPOLIS,1343,620,0,66,5,157,28,0,10,3,328,39,3,0,72,8,0,0,0,0,0,4
GO,BALIZA,448,186,0,9,3,76,13,0,3,2,105,25,9,0,13,2,0,0,0,0,0,2
GO,BARRO ALTO,5343,2464,0,209,179,592,81,0,19,34,805,316,93,0,262,261,0,0,0,0,1,27
GO,BELA VISTA DE GOIAS,19066,7857,0,580,139,2044,370,0,65,52,5298,1504,64,0,812,200,1,0,0,2,18,60
GO,BOM JARDIM DE GOIAS,4288,1374,0,160,60,556,64,0,61,8,1210,482,38,0,172,91,0,0,0,0,1,11
GO,BOM JESUS,15778,6890,0,532,479,1574,297,0,175,73,2385,1774,170,0,575,767,0,1,0,1,2,83
GO,BONFINOPOLIS,3504,1647,0,80,8,369,71,0,9,10,955,213,11,0,125,3,0,0,0,0,0,3
GO,BONOPOLIS,946,287,0,26,4,105,19,0,2,3,401,62,14,0,20,2,0,0,0,0,0,1
GO,BRAZABRANTES,1563,764,0,70,19,148,24,0,14,3,355,68,7,0,74,15,0,0,0,0,0,2
GO,BRITANIA,3009,1331,0,108,15,321,63,0,32,12,679,228,14,0,178,18,0,0,0,0,0,10
GO,BURITI ALEGRE,6284,3335,0,248,82,705,151,0,23,39,921,315,19,0,295,117,0,1,0,0,0,33
GO,BURITI DE GOIAS,1866,795,0,34,4,222,25,0,10,9,596,29,2,0,129,5,0,1,0,0,0,5
GO,BURITINOPOLIS,1055,524,0,31,4,77,16,0,10,2,307,34,9,0,39,2,0,0,0,0,0,0
GO,CABECEIRAS,3009,1565,0,164,28,331,53,0,6,14,555,153,32,0,66,39,0,0,0,0,2,1
GO,CACHOEIRA ALTA,5622,2745,0,199,23,702,85,0,41,20,1040,450,78,0,196,24,0,0,0,1,2,16
GO,CACHOEIRA DE GOIAS,602,311,0,10,6,71,8,0,4,2,137,8,2,0,34,8,0,0,0,0,0,1
GO,CACHOEIRA DOURADA,4189,2130,0,133,58,365,87,0,49,14,696,288,53,0,222,82,1,1,0,0,3,7
GO,CACU,8444,3768,0,359,91,1225,187,0,78,35,1419,594,49,0,454,123,0,1,0,0,3,58
GO,CAIAPONIA,8899,3733,0,321,122,1418,171,0,37,16,1716,687,19,0,440,171,0,0,0,0,1,47
GO,CALDAS NOVAS,67507,26455,0,900,111,5243,1275,0,747,142,18978,10539,133,0,2411,155,2,29,0,0,33,354
GO,CALDAZINHA,2077,771,0,43,2,276,36,0,7,8,791,51,5,0,80,3,0,0,0,0,0,4
GO,CAMPESTRE DE GOIAS,1671,716,0,50,0,170,29,0,14,3,491,80,8,0,99,1,0,0,0,0,0,10
GO,CAMPINACU,1458,578,0,47,5,187,33,0,8,4,476,64,7,0,41,3,0,0,0,0,0,5
GO,CAMPINORTE,6571,2838,0,216,40,724,100,0,20,21,1620,563,28,0,298,57,0,0,0,0,4,42
GO,CAMPO ALEGRE DE GOIAS,3398,1580,0,194,73,520,81,0,9,25,539,165,33,0,60,99,0,0,0,1,1,18
GO,CAMPO LIMPO DE GOIAS,2997,1347,0,216,24,429,53,0,3,5,597,194,8,0,87,22,0,0,0,0,0,12
GO,CAMPOS BELOS,11450,4599,0,331,42,1443,161,0,9,18,3410,1019,59,0,270,48,0,0,0,1,1,39
GO,CAMPOS VERDES,1754,722,0,50,2,128,38,0,1,10,610,142,3,0,40,3,0,0,0,0,1,4
GO,CARMO DO RIO VERDE,5269,2195,0,136,20,430,59,1,41,21,1508,448,57,0,298,41,0,0,0,0,0,14
GO,CASTELANDIA,1563,705,0,76,44,152,27,0,6,6,334,94,14,0,36,66,0,0,0,0,1,2
GO,CATALAO,86048,38289,0,2212,954,10129,2144,0,169,241,17215,7029,415,0,2917,2076,22,5,0,6,19,2206
GO,CATURAI,2630,1203,0,61,7,460,64,0,12,3,542,121,10,0,128,15,0,0,0,0,0,4
GO,CAVALCANTE,1885,701,0,59,0,347,45,0,1,3,591,65,6,0,34,0,0,0,0,0,1,32
GO,CERES,20572,8342,0,559,61,1893,319,0,108,21,5827,2405,57,0,732,83,2,0,0,1,3,159
GO,CEZARINA,4649,2124,0,166,61,447,95,0,32,13,1026,356,34,0,208,73,0,1,0,1,3,9
GO,CHAPADAO DO CEU,7450,2747,0,390,286,845,195,0,17,19,961,621,36,0,551,672,1,0,0,1,2,106
GO,CIDADE OCIDENTAL,12424,6569,0,221,27,683,258,0,22,93,2762,402,139,0,1187,26,1,3,0,0,4,27
GO,COCALZINHO DE GOIAS,5875,2984,0,251,42,728,172,0,32,38,998,193,38,0,286,80,0,1,0,1,2,29
GO,COLINAS DO SUL,897,420,0,29,2,133,23,0,1,4,205,26,2,0,49,1,0,0,0,0,0,2
GO,CORREGO DO OURO,1242,543,0,23,2,180,14,0,2,3,376,23,4,0,67,2,0,0,0,0,0,3
GO,CORUMBA DE GOIAS,4462,2130,0,132,8,545,75,0,24,17,1104,239,38,0,118,11,0,0,0,0,3,18
GO,CORUMBAIBA,4805,2115,0,183,41,628,81,0,6,30,1062,362,10,0,197,69,0,2,0,1,0,18
GO,CRISTALINA,32278,15493,0,1888,661,3914,899,0,98,113,4362,1553,562,0,1366,1096,3,2,0,4,13,251
GO,CRISTIANOPOLIS,2041,993,0,69,10,285,35,0,10,9,445,66,4,0,102,9,0,0,0,0,0,4
GO,CRIXAS,9206,3927,0,219,7,1133,232,0,31,23,2396,841,28,0,317,14,0,0,0,0,3,35
GO,CROMINIA,2228,1019,0,70,11,299,49,0,4,9,548,120,6,0,78,12,0,0,0,0,1,2
GO,CUMARI,1643,841,0,32,7,195,36,0,0,9,428,26,5,0,53,6,0,0,0,0,0,5
GO,DAMIANOPOLIS,1109,516,0,31,1,170,12,0,4,5,291,21,15,0,39,1,1,0,0,0,0,2
GO,DAMOLANDIA,1775,746,0,56,1,231,24,0,2,7,452,149,9,0,90,3,0,0,0,0,0,5
GO,DAVINOPOLIS,959,467,0,39,6,180,18,0,1,6,189,19,8,0,14,10,0,1,0,0,0,1
GO,DIORAMA,1094,379,0,20,1,143,21,0,6,5,411,40,8,0,55,1,0,0,0,0,0,4
GO,DIVINOPOLIS DE GOIAS,920,422,0,40,8,113,21,0,0,6,217,59,10,0,15,6,0,0,0,0,0,3
GO,DOVERLANDIA,4841,1586,0,159,34,746,82,0,9,19,1619,343,41,0,122,62,0,0,0,0,0,19
GO,EDEALINA,2180,972,0,93,29,261,31,0,5,18,506,145,16,0,58,43,0,0,0,0,0,3
GO,EDEIA,7721,3257,0,320,99,968,124,0,63,18,1472,644,27,0,427,260,0,0,0,0,3,39
GO,ESTRELA DO NORTE,1717,625,0,44,7,170,24,0,20,2,657,93,4,0,59,5,0,1,0,0,0,6
GO,FAINA,2575,1096,0,79,7,335,49,0,19,16,740,112,11,0,93,12,0,1,0,0,0,5
GO,FAZENDA NOVA,3300,1067,0,54,4,342,45,0,20,11,1392,202,10,0,143,2,0,0,0,0,2,6
GO,FIRMINOPOLIS,5994,2765,0,113,28,640,96,0,108,5,1363,444,8,0,371,35,0,0,0,0,1,17
GO,FLORES DE GOIAS,1493,601,0,61,0,159,32,0,1,7,491,56,17,0,66,0,0,1,0,0,1,0
GO,FORMOSA,75541,34662,0,3460,982,7079,1641,3,434,207,13071,5852,756,0,5677,1406,18,7,1,8,27,250
GO,FORMOSO,2710,938,0,69,5,297,37,0,26,7,1054,164,8,0,92,8,0,0,0,0,0,5
GO,GAMELEIRA DE GOIAS,1213,529,0,46,26,217,13,0,0,3,279,14,18,0,30,36,0,0,0,0,0,2
GO,GOIANAPOLIS,6619,3189,0,268,26,788,127,0,8,25,1399,477,40,0,215,29,0,0,0,0,1,27
GO,GOIANDIRA,2912,1591,0,59,4,413,59,0,3,13,529,128,7,0,90,7,0,0,0,0,1,8
GO,GOIANESIA,46888,20895,0,1293,323,4411,755,1,269,127,10054,5414,341,0,2024,708,1,0,0,5,7,260
GO,GOIANIA,1227185,638815,0,25894,6047,105406,44854,5,6404,2283,247785,57333,7009,0,57455,10436,17,115,0,63,367,16897
GO,GOIANIRA,23913,11782,0,490,82,1588,473,0,370,40,5989,1349,112,0,1467,80,0,0,0,2,6,83
GO,GOIAS,13379,6160,0,280,11,1635,353,0,74,23,3435,591,65,0,652,27,0,0,0,0,3,70
GO,GOIATUBA,27317,11847,0,871,603,2753,490,0,160,64,5163,3077,157,0,1105,855,0,1,1,0,11,159
GO,GOUVELANDIA,1844,946,0,70,15,205,26,0,15,9,368,81,13,0,79,17,0,0,0,0,0,0
GO,GUAPO,7936,3603,0,301,77,686,145,0,49,19,1807,622,64,0,453,82,0,0,0,0,1,27
GO,GUARAITA,1115,427,0,24,0,103,14,0,5,3,344,119,5,0,68,2,0,0,0,0,0,1
GO,GUARANI DE GOIAS,1143,461,0,21,4,132,14,0,2,7,387,86,11,0,12,4,0,0,0,0,0,2
GO,GUARINOS,568,262,0,12,0,84,14,0,2,9,159,9,3,0,11,0,0,0,0,0,0,3
GO,HEITORAI,1828,778,0,49,1,200,38,0,11,4,574,75,10,0,84,1,0,0,0,0,0,3
GO,HIDROLANDIA,12181,5180,0,1159,114,1102,239,0,62,36,2860,647,53,0,552,132,0,2,0,1,2,40
GO,HIDROLINA,1580,763,0,36,0,177,35,0,2,2,454,47,4,0,54,3,0,0,0,0,0,3
GO,IACIARA,3907,1576,0,160,39,457,53,0,12,19,1030,376,27,0,79,59,0,0,0,0,1,19
GO,INACIOLANDIA,2432,1071,0,75,30,214,46,0,65,9,597,171,19,0,85,46,0,1,0,0,0,3
GO,INDIARA,7667,3587,0,303,138,676,137,0,101,22,1396,703,50,0,314,223,0,0,0,0,5,12
GO,INHUMAS,39940,17160,0,1260,239,4503,819,0,533,92,7062,5497,228,0,2007,309,0,1,0,0,7,223
GO,IPAMERI,14831,7083,0,572,151,2021,292,0,244,90,2457,1141,118,0,378,214,3,1,0,0,9,57
GO,IPIRANGA DE GOIAS,1343,550,0,35,0,129,20,0,0,7,484,63,9,0,45,0,0,0,0,1,0,0
GO,IPORA,29420,11312,0,624,108,3594,553,0,327,42,8191,2508,55,0,1815,129,1,4,0,1,2,154
GO,ISRAELANDIA,1158,491,0,45,7,120,15,0,0,6,366,29,8,0,65,5,0,0,0,0,0,1
GO,ITABERAI,29808,12479,0,1060,308,2955,514,0,229,62,6442,3166,126,0,1820,465,0,0,0,1,3,178
GO,ITAGUARI,3096,1478,0,72,4,425,55,0,14,13,635,206,15,0,164,7,0,0,0,0,0,8
GO,ITAGUARU,3548,1508,0,108,1,570,50,0,28,10,917,197,12,0,142,1,0,0,0,0,0,4
GO,ITAJA,2967,1438,0,127,9,476,96,0,48,14,501,96,23,0,109,16,0,0,0,1,0,13
GO,ITAPACI,11362,5033,0,275,35,1091,152,0,48,30,3080,937,112,0,490,36,0,0,0,2,1,40
GO,ITAPIRAPUA,4289,1631,0,86,9,466,68,0,46,14,1428,290,15,0,215,11,0,0,0,0,0,10
GO,ITAPURANGA,21295,8231,0,442,59,2144,267,0,63,37,6075,2485,73,0,1209,105,0,0,0,0,7,98
GO,ITARUMA,2684,1113,0,107,16,514,59,0,22,23,527,157,21,0,99,14,0,0,0,0,1,11
GO,ITAUCU,4114,2139,0,141,16,568,78,0,9,9,674,247,17,0,196,13,0,0,0,0,0,7
GO,ITUMBIARA,88125,40209,0,2083,1923,8059,1936,0,1416,263,16640,9353,456,0,3279,1916,1,6,0,7,11,567
GO,IVOLANDIA,757,341,0,13,0,93,17,0,5,4,226,22,2,0,34,0,0,0,0,0,0,0
GO,JANDAIA,3406,1471,0,131,30,440,75,0,47,7,811,106,19,0,192,65,0,0,0,1,0,11
GO,JARAGUA,26591,11940,0,525,82,2752,429,0,259,39,5533,3395,53,0,1338,155,0,1,0,1,3,86
GO,JATAI,80400,32339,0,2618,1081,10177,1963,0,420,186,16761,9107,313,0,2867,1813,3,8,0,4,18,722
GO,JAUPACI,1441,567,0,27,5,148,22,0,16,6,513,39,7,0,83,7,0,0,0,0,0,1
GO,JESUPOLIS,801,434,0,27,0,91,10,0,1,4,164,26,9,0,34,0,0,0,0,0,0,1
GO,JOVIANIA,4934,2033,0,172,154,617,87,0,8,14,936,370,30,0,215,259,0,0,0,0,2,37
GO,JUSSARA,16438,5958,0,519,80,1640,274,0,99,23,4775,1963,30,0,912,93,0,2,0,1,2,67
GO,LAGOA SANTA,595,283,0,24,4,107,8,0,5,8,98,15,8,0,32,2,0,0,0,0,0,1
GO,LEOPOLDO DE BULHOES,3733,1530,0,261,105,443,79,0,6,20,904,133,19,0,91,124,0,0,0,0,2,16
GO,LUZIANIA,69179,33547,0,2578,746,5017,1420,0,140,322,14089,4068,614,0,5333,1029,16,16,1,8,19,216
GO,MAIRIPOTABA,1286,593,0,35,0,177,34,0,6,9,318,57,4,0,51,0,0,0,0,0,0,2
GO,MAMBAI,2700,1097,0,91,54,320,48,0,6,6,720,154,37,0,82,69,0,0,0,0,1,15
GO,MARA ROSA,5545,2108,0,161,34,772,95,0,90,12,1606,393,17,0,213,28,0,0,0,0,0,16
GO,MARZAGAO,1228,602,0,36,10,120,24,0,3,5,262,98,6,0,48,12,0,0,0,0,0,2
GO,MATRINCHA,1966,680,0,58,12,226,29,0,9,6,728,117,11,0,65,13,0,0,0,0,0,12
GO,MAURILANDIA,6456,2632,0,410,173,484,86,0,20,18,1195,581,133,0,319,389,0,0,0,2,1,13
GO,MIMOSO DE GOIAS,378,171,0,11,2,46,15,0,0,5,92,10,7,0,14,5,0,0,0,0,0,0
GO,MINACU,20249,6636,0,519,67,2014,361,0,174,47,6902,2844,50,0,446,67,0,0,0,1,4,117
GO,MINEIROS,46226,18004,0,1513,519,6086,966,0,104,107,10947,5575,183,0,1093,785,0,3,0,3,15,323
GO,MOIPORA,692,375,0,9,0,105,3,0,1,0,160,12,1,0,23,1,0,0,0,0,0,2
GO,MONTE ALEGRE DE GOIAS,1329,520,0,29,8,177,22,0,1,8,457,58,10,0,32,5,0,0,0,0,1,1
GO,MONTES CLAROS DE GOIAS,4501,1705,0,129,25,522,85,0,14,21,1453,212,43,0,241,38,0,0,0,0,0,13
GO,MONTIVIDIU,7383,3229,0,392,272,946,150,0,11,45,1234,240,83,0,315,410,0,0,0,0,1,55
GO,MONTIVIDIU DO NORTE,1361,449,0,30,0,188,25,0,30,5,530,36,18,0,49,1,0,0,0,0,0,0
GO,MORRINHOS,33859,14884,0,1020,203,3046,604,0,320,94,6999,4533,164,0,1583,266,0,3,0,2,3,135
GO,MORRO AGUDO DE GOIAS,1494,589,0,82,4,194,22,0,2,5,500,42,9,0,41,4,0,0,0,0,0,0
GO,MOSSAMEDES,2388,1171,0,47,2,294,74,0,17,10,600,71,7,0,83,4,0,0,0,0,0,8
GO,MOZARLANDIA,8890,3344,0,183,40,847,104,0,74,26,2873,841,57,0,404,82,0,0,0,0,0,15
GO,MUNDO NOVO,2592,1090,0,65,5,263,41,0,80,8,698,96,31,0,202,8,0,0,0,0,0,5
GO,MUTUNOPOLIS,1934,632,0,49,4,205,15,0,43,6,763,126,17,0,62,8,0,0,0,0,0,4
GO,NAZARIO,3643,1765,0,124,58,341,87,0,109,14,658,212,19,0,179,66,0,0,0,0,3,8
GO,NEROPOLIS,17716,8303,0,618,117,1632,422,0,141,36,3938,1428,46,0,793,150,0,0,0,1,2,89
GO,NIQUELANDIA,21983,10047,0,745,107,2615,389,0,85,103,4018,2393,179,0,967,215,1,1,0,11,7,100
GO,NOVA AMERICA,1423,643,0,38,2,177,34,0,0,2,428,41,4,0,48,4,0,0,0,0,0,2
GO,NOVA AURORA,1296,533,0,50,3,199,23,0,0,7,375,59,6,0,28,7,0,0,0,1,0,5
GO,NOVA CRIXAS,5610,2079,0,173,34,644,99,0,39,14,1625,450,45,0,345,43,0,1,0,0,1,18
GO,NOVA GLORIA,4531,1977,0,139,17,427,69,0,70,15,1243,299,30,0,213,23,0,0,0,0,0,9
GO,NOVA IGUACU DE GOIAS,1143,493,0,33,0,128,17,0,1,8,337,72,8,0,42,1,0,0,0,0,0,3
GO,NOVA ROMA,792,377,0,16,0,92,9,0,0,5,250,18,6,0,17,0,0,0,0,0,0,2
GO,NOVA VENEZA,4300,1999,0,185,26,469,64,0,24,18,946,273,26,0,197,49,0,0,0,0,1,23
GO,NOVO BRASIL,2016,740,0,41,0,243,45,0,15,6,705,114,5,0,96,0,0,0,0,0,0,6
GO,NOVO GAMA,14636,7675,0,506,48,1004,450,0,33,124,2741,285,198,0,1438,76,3,2,0,3,4,46
GO,NOVO PLANALTO,1593,638,0,44,16,176,21,0,12,14,456,114,5,0,80,12,0,0,0,0,0,5
GO,ORIZONA,10373,4472,0,289,95,1749,245,0,94,76,2437,472,48,0,228,126,0,0,0,1,1,40
GO,OURO VERDE DE GOIAS,1913,964,0,125,3,304,36,0,2,2,365,43,16,0,44,3,0,0,0,0,1,5
GO,OUVIDOR,3375,1794,0,77,42,471,70,0,1,6,537,177,18,0,112,48,0,0,0,1,0,21
GO,PADRE BERNARDO,7778,3801,0,452,58,991,233,0,9,39,1164,452,98,0,375,81,1,2,0,3,2,17
GO,PALESTINA DE GOIAS,1298,487,0,27,3,154,25,0,0,10,469,38,10,0,68,5,0,0,0,0,0,2
GO,PALMEIRAS DE GOIAS,17361,7325,0,472,181,1856,319,0,191,26,3921,1735,151,0,883,229,0,0,0,2,8,62
GO,PALMELO,1146,567,0,37,3,126,26,0,10,5,271,48,6,0,37,6,0,0,0,0,0,4
GO,PALMINOPOLIS,2469,981,0,70,25,270,61,0,47,3,756,101,8,0,114,29,0,0,0,0,0,4
GO,PANAMA,1169,558,0,61,32,148,6,0,15,15,214,47,10,0,33,29,0,1,0,0,0,0
GO,PARANAIGUARA,4938,2646,0,134,42,534,105,0,30,18,675,369,17,0,280,65,0,0,0,0,2,21
GO,PARAUNA,7678,2987,0,235,92,952,146,0,139,30,1908,545,59,0,392,147,0,0,0,0,0,46
GO,PEROLANDIA,1236,510,0,63,33,199,28,0,4,13,175,41,12,0,66,89,0,0,0,1,0,2
GO,PETROLINA DE GOIAS,4517,2200,0,222,19,559,61,0,8,9,981,258,23,0,136,22,0,0,0,0,0,19
GO,PILAR DE GOIAS,872,418,0,31,0,136,25,0,0,5,216,8,8,0,20,0,0,0,0,1,0,4
GO,PIRACANJUBA,17705,7560,0,550,178,2129,309,0,232,53,4060,1577,54,0,649,281,0,0,0,0,6,67
GO,PIRANHAS,7569,2838,0,263,53,934,113,0,235,20,2057,412,49,0,476,87,0,0,0,0,1,31
GO,PIRENOPOLIS,13729,6392,0,351,15,1556,335,0,28,79,3806,676,43,0,341,20,1,0,0,1,10,75
GO,PIRES DO RIO,22823,10607,0,638,200,2750,410,0,484,33,4578,1961,78,0,674,310,0,2,0,0,9,89
GO,PLANALTINA,24195,11740,0,753,99,1732,624,0,119,109,4282,1414,418,0,2665,148,4,2,0,1,17,68
GO,PONTALINA,12183,5110,0,362,79,1323,203,0,127,29,2890,1550,41,0,324,103,0,0,0,0,1,41
GO,PORANGATU,35117,12024,0,820,340,3343,385,0,756,73,9811,5374,100,0,1429,550,0,1,0,0,0,111
GO,PORTEIRAO,1836,900,0,124,26,194,33,0,12,25,247,82,31,0,103,53,0,0,0,0,1,5
GO,PORTELANDIA,1555,665,0,63,34,238,33,0,2,26,326,82,5,0,26,53,0,0,0,0,0,2
GO,POSSE,18949,8583,0,821,287,2341,354,0,121,77,3871,1291,136,0,472,428,3,0,0,1,7,156
GO,PROFESSOR JAMIL,1246,635,0,41,2,146,35,0,7,3,281,33,7,0,51,5,0,0,0,0,0,0
GO,QUIRINOPOLIS,36970,14834,0,1122,372,3841,872,0,369,85,7473,4911,283,0,1774,857,3,2,0,0,7,165
GO,RIALMA,8692,3764,0,353,85,759,123,0,117,31,1964,1017,47,0,299,82,0,0,0,0,1,50
GO,RIANAPOLIS,2873,1271,0,108,31,252,24,0,33,5,776,194,10,0,121,40,0,0,0,0,1,7
GO,RIO QUENTE,2117,1012,0,57,1,239,40,0,11,21,422,149,59,0,97,0,0,0,0,0,1,8
GO,RIO VERDE,152220,62625,0,4320,3033,16428,3565,1,1276,437,33710,14829,687,0,4702,5062,5,5,0,3,46,1486
GO,RUBIATABA,13907,5858,0,402,94,1419,251,0,20,42,3635,1203,124,0,682,119,0,0,0,1,0,57
